date,region,product,units,revenue
2026-01-05,north,widget-a,120,2400.00
2026-01-05,south,widget-b,85,1700.00
2026-01-06,north,widget-a,95,1900.00
2026-01-06,east,gadget-x,40,3200.00
2026-01-07,south,widget-a,110,2200.00
2026-01-07,west,gadget-x,60,4800.00
2026-01-08,north,widget-b,75,1500.00
2026-01-08,east,widget-a,130,2600.00
2026-01-09,south,gadget-x,55,4400.00
2026-01-09,west,widget-b,90,1800.00
2026-01-10,north,gadget-x,45,3600.00
2026-01-10,south,widget-a,100,2000.00
2026-01-11,east,widget-b,65,1300.00
2026-01-11,west,widget-a,115,2300.00
2026-01-12,north,gadget-x,70,5600.00
2026-01-12,south,widget-b,80,1600.00
2026-01-13,east,widget-a,125,2500.00
2026-01-13,west,gadget-x,50,4000.00
2026-01-14,north,widget-a,105,2100.00
2026-01-14,south,gadget-x,65,5200.00
